  0.00000000e+00  0.00000000e+00
  1.25412880e-02 -1.28356676e-06
  2.50825761e-02 -1.10807303e-06
  3.76238641e-02  5.06322056e-07
  5.01651522e-02  3.55968748e-06
  6.27064402e-02  8.07189075e-06
  7.52477282e-02  1.40771902e-05
  8.77890163e-02  2.16147919e-05
  1.00330304e-01  3.07171571e-05
  1.12871592e-01  4.13983751e-05
  1.25412880e-01  5.36450135e-05
  1.37954168e-01  6.74114934e-05
  1.50495456e-01  8.26212577e-05
  1.63036744e-01  9.91739409e-05
  1.75578033e-01  1.16957599e-04
  1.88119321e-01  1.35864032e-04
  2.00660609e-01  1.55804542e-04
  2.13201897e-01  1.76723200e-04
  2.25743185e-01  1.98605044e-04
  2.38284473e-01  2.21477371e-04
  2.50825761e-01  2.45403461e-04
  2.63367049e-01  2.70469411e-04
  2.75908337e-01  2.96765992e-04
  2.88449625e-01  3.24368427e-04
  3.00990913e-01  3.53317446e-04
  3.13532201e-01  3.83604926e-04
  3.26073489e-01  4.15166694e-04
  3.38614777e-01  4.47883993e-04
  3.51156065e-01  4.81593642e-04
  3.63697353e-01  5.16105488e-04
  3.76238641e-01  5.51224499e-04
  3.88779929e-01  5.86774042e-04
  4.01321217e-01  6.22616629e-04
  4.13862505e-01  6.58668839e-04
  4.26403793e-01  6.94908014e-04
  4.38945081e-01  7.31369686e-04
  4.51486369e-01  7.68136170e-04
  4.64027657e-01  8.05318172e-04
  4.76568945e-01  8.43032311e-04
  4.89110233e-01  8.81378087e-04
  5.01651522e-01  9.20417755e-04
  5.14192810e-01  9.60162039e-04
  5.26734098e-01  1.00056356e-03
  5.39275386e-01  1.04151857e-03
  5.51816674e-01  1.08287627e-03
  5.64357962e-01  1.12445378e-03
  5.76899250e-01  1.16605418e-03
  5.89440538e-01  1.20748472e-03
  6.01981826e-01  1.24857240e-03
  6.14523114e-01  1.28917506e-03
  6.27064402e-01  1.32918671e-03
  6.39605690e-01  1.36853720e-03
  6.52146978e-01  1.40718712e-03
  6.64688266e-01  1.44511936e-03
  6.77229554e-01  1.48232955e-03
  6.89770842e-01  1.51881688e-03
  7.02312130e-01  1.55457703e-03
  7.14853418e-01  1.58959789e-03
  7.27394706e-01  1.62385810e-03
  7.39935994e-01  1.65732803e-03
  7.52477282e-01  1.68997215e-03
  7.65018570e-01  1.72175158e-03
  7.77559858e-01  1.75262599e-03
  7.90101146e-01  1.78255418e-03
  8.02642434e-01  1.81149326e-03
  8.15183722e-01  1.83939678e-03
  8.27725011e-01  1.86621272e-03
  8.40266299e-01  1.89188221e-03
  8.52807587e-01  1.91633978e-03
  8.65348875e-01  1.93951573e-03
  8.77890163e-01  1.96134048e-03
  8.90431451e-01  1.98175029e-03
  9.02972739e-01  2.00069337e-03
  9.15514027e-01  2.01813504e-03
  9.28055315e-01  2.03406051e-03
  9.40596603e-01  2.04847459e-03
  9.53137891e-01  2.06139782e-03
  9.65679179e-01  2.07285943e-03
  9.78220467e-01  2.08288831e-03
  9.90761755e-01  2.09150354e-03
  1.00330304e+00  2.09870648e-03
  1.01584433e+00  2.10447608e-03
  1.02838562e+00  2.10876860e-03
  1.04092691e+00  2.11152243e-03
  1.05346820e+00  2.11266708e-03
  1.06600948e+00  2.11213520e-03
  1.07855077e+00  2.10987543e-03
  1.09109206e+00  2.10586346e-03
  1.10363335e+00  2.10010921e-03
  1.11617464e+00  2.09265844e-03
  1.12871592e+00  2.08358798e-03
  1.14125721e+00  2.07299527e-03
  1.15379850e+00  2.06098382e-03
  1.16633979e+00  2.04764711e-03
  1.17888108e+00  2.03305402e-03
  1.19142236e+00  2.01723859e-03
  1.20396365e+00  2.00019630e-03
  1.21650494e+00  1.98188796e-03
  1.22904623e+00  1.96225074e-03
  1.24158752e+00  1.94121462e-03
  1.25412880e+00  1.91872136e-03
  1.26667009e+00  1.89474230e-03
  1.27921138e+00  1.86929173e-03
  1.29175267e+00  1.84243277e-03
  1.30429396e+00  1.81427448e-03
  1.31683524e+00  1.78496014e-03
  1.32937653e+00  1.75464868e-03
  1.34191782e+00  1.72349236e-03
  1.35445911e+00  1.69161497e-03
  1.36700040e+00  1.65909464e-03
  1.37954168e+00  1.62595486e-03
  1.39208297e+00  1.59216597e-03
  1.40462426e+00  1.55765717e-03
  1.41716555e+00  1.52233756e-03
  1.42970684e+00  1.48612239e-03
  1.44224812e+00  1.44896008e-03
  1.45478941e+00  1.41085460e-03
  1.46733070e+00  1.37187884e-03
  1.47987199e+00  1.33217585e-03
  1.49241328e+00  1.29194700e-03
  1.50495456e+00  1.25142844e-03
  1.51749585e+00  1.21085977e-03
  1.53003714e+00  1.17045004e-03
  1.54257843e+00  1.13034759e-03
  1.55511972e+00  1.09061936e-03
  1.56766100e+00  1.05124422e-03
  1.58020229e+00  1.01212239e-03
  1.59274358e+00  9.73100433e-04
  1.60528487e+00  9.34007963e-04
  1.61782616e+00  8.94700535e-04
  1.63036744e+00  8.55101106e-04
  1.64290873e+00  8.15232691e-04
  1.65545002e+00  7.75235748e-04
  1.66799131e+00  7.35366193e-04
  1.68053260e+00  6.95973070e-04
  1.69307389e+00  6.57458330e-04
  1.70561517e+00  6.20224343e-04
  1.71815646e+00  5.84617133e-04
  1.73069775e+00  5.50874389e-04
  1.74323904e+00  5.19086934e-04
  1.75578033e+00  4.89180479e-04
  1.76832161e+00  4.60921423e-04
  1.78086290e+00  4.33946739e-04
  1.79340419e+00  4.07814109e-04
  1.80594548e+00  3.82065176e-04
  1.81848677e+00  3.56292547e-04
  1.83102805e+00  3.30200471e-04
